userId,movieId,rating,timestamp
18,1,3.5,1455209816
18,32,4.0,1455209840
18,34,2.5,1455617533
18,47,4.5,1455050013
18,50,5.0,1455049343
18,110,4.5,1455050170
18,165,4.0,1455209902
18,208,3.0,1455617516
18,231,2.5,1455748462
18,260,4.0,1455049368
18,293,4.5,1455050049
18,296,4.0,1455050745
18,318,5.0,1455049328
18,344,2.5,1455209869
18,356,4.5,1455050112
18,364,3.0,1455209887
18,367,2.5,1455618093
18,377,2.5,1455209879
18,380,2.5,1455209846
18,457,3.5,1477432493
18,480,3.5,1455209811
18,500,3.5,1455618095
18,527,4.5,1455050006
18,541,4.0,1456745325
18,586,3.5,1455748696
18,588,3.5,1455209912
18,589,4.5,1455209793
18,590,4.0,1455209837
18,593,4.5,1455050067
18,595,3.0,1455209900
18,608,4.5,1455050069
18,648,3.0,1455209873
18,780,4.0,1455209824
18,858,4.0,1455050024
18,1036,4.0,1455618103
18,1089,4.0,1455051391
18,1136,4.5,1455210625
18,1193,4.5,1517686025
18,1196,4.0,1455209805
18,1198,4.0,1455049377
18,1206,4.5,1455050357
18,1210,4.5,1455209798
18,1213,4.5,1455050000
18,1214,4.0,1455050629
18,1221,5.0,1460242083
18,1240,4.0,1455618100
18,1270,4.0,1455748627
18,1291,4.0,1455059809
18,1527,3.5,1455050095
18,1580,3.5,1455748435
18,1682,3.0,1455231395
18,1704,4.0,1455050003
18,1721,4.0,1455748443
18,2028,4.0,1455209855
18,2329,4.0,1455209651
18,2571,4.5,1455209654
18,2683,2.5,1455231399
18,2762,4.5,1455209891
18,2959,4.5,1455049351
18,3578,4.5,1455209857
18,3793,4.0,1464994762
18,4226,4.5,1455231390
18,4306,4.0,1455209697
18,4886,4.0,1455209685
18,4963,4.0,1455209694
18,4973,4.0,1455209683
18,4993,4.5,1455209675
18,4995,4.5,1455209718
18,5349,4.0,1456923908
18,5445,4.0,1455209691
18,5952,3.5,1455209677
18,5989,4.0,1455209729
18,6377,4.0,1455049810
18,6539,4.5,1455049808
18,6874,3.5,1455049814
18,7153,4.5,1455049801
18,7361,4.0,1456924036
18,8961,3.5,1455209724
18,33794,4.5,1455050618
18,58559,4.0,1455049372
18,79132,4.5,1455050059
63,1,5.0,1443199669
63,10,3.0,1443201199
