userId,movieId,rating,timestamp
6,2,4.0,845553522
6,3,5.0,845554296
6,4,3.0,845554349
6,5,5.0,845553938
6,6,4.0,845553757
6,7,4.0,845554264
6,8,3.0,845555281
6,10,3.0,845553253
6,11,4.0,845553489
6,13,3.0,845555588
6,15,4.0,845554505
6,16,4.0,845553819
6,17,4.0,845553559
6,19,2.0,845553382
6,21,2.0,845553382
6,22,5.0,845553875
6,24,4.0,845554397
6,25,3.0,845553695
6,26,4.0,845555362
6,27,3.0,845555402
6,31,3.0,845553819
6,32,4.0,845553426
6,34,4.0,845553354
6,36,5.0,845553726
6,41,4.0,845554962
6,43,4.0,845555607
6,45,3.0,845553907
6,46,4.0,845554551
6,47,4.0,845553317
6,50,1.0,845553381
6,54,4.0,845555402
6,60,4.0,845554263
6,61,4.0,845555454
6,62,4.0,845553660
6,65,3.0,845555070
6,66,3.0,845555151
6,76,4.0,845555317
6,79,3.0,845554907
6,86,5.0,845556131
6,87,3.0,845555300
6,88,2.0,845555694
6,89,4.0,845555124
6,92,4.0,845555454
6,93,4.0,845554584
6,95,4.0,845553559
6,100,3.0,845555151
19,1,4.0,965705637
19,2,3.0,965704331
19,3,3.0,965707636
19,7,2.0,965706657
19,10,2.0,965709556
19,12,1.0,965705347
19,13,3.0,965709102
19,15,2.0,965710039
19,19,2.0,965708339
19,32,4.0,965703646
19,34,4.0,965705661
19,44,3.0,965710019
19,47,3.0,965710720
19,48,1.0,965709172
19,54,2.0,965702660
19,64,2.0,965708037
19,65,2.0,965708217
19,70,2.0,965704974
19,87,2.0,965708059
19,92,2.0,965712048
32,1,3.0,856736119
32,3,3.0,856736172
32,6,3.0,856736172
32,7,4.0,856736173
32,21,4.0,856737002
32,24,3.0,856737205
32,25,4.0,856736119
32,26,4.0,856736347
32,32,4.0,856736119
32,36,4.0,856736172
32,39,3.0,856737205
32,50,5.0,856737002
32,52,3.0,856736227
32,58,5.0,856736227
32,62,3.0,856736119
32,74,4.0,856736316
32,78,4.0,856736477
32,95,3.0,856736119
32,100,4.0,856736290
68,1,2.5,1158531426
68,2,2.5,1158532776
68,3,2.0,1158533415
68,5,2.0,1158533624
68,6,4.0,1158532058
68,7,2.0,1230498124
68,10,4.5,1158531612
68,11,4.5,1158531050
68,16,3.5,1158533018
68,17,3.5,1158531987
68,18,2.0,1532897231
68,19,1.5,1158532448
68,25,3.5,1158531974
68,26,3.0,1158534106
68,31,3.5,1158535464
68,34,1.0,1158531735
68,39,4.0,1158532000
68,44,3.0,1158534993
68,47,4.0,1158531489
68,48,4.0,1158533544
68,50,3.0,1158531764
68,62,3.5,1158531021
68,65,1.5,1269123315
